"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",-3.04431524754185,2.78512307185641,-1.093063095956,0.306184837519987,-9.46682056829525,3.37819007321155,NA,NA,NA,NA
"proportion.past.50",3.95536238125242,3.09040462883018,1.27988495239526,0.236450825956455,-3.17112347228407,11.0818482347889,1.44467153727433,1,1.63810549136783,0.236450825956455
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)1",-6.79405652633833,3.55476707927982,-1.91125223532642,0.0975776513247306,-15.199744970767,1.61163191809037,NA,NA,NA,NA
"proportion.past.501",4.84311708477617,2.91754400793217,1.65999795430979,0.14087455289161,-2.05577823146944,11.7420124010218,2.08042386209768,1,2.75559320831268,0.14087455289161
"B_avg.bright.female",0.111153907476087,0.0725856713965436,1.53134778996313,0.16954170840214,-0.0604839314263249,0.282791746378499,1.7704529626873,1,2.34502605382495,0.16954170840214
