"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",-9.26397033835674,8.49640655398975,-1.09033981360115,0.307312283193804,-28.8567189862329,10.3287783095194,NA,NA,NA,NA
"proportion.past.50",10.7847361366588,9.42771054112569,1.1439400997319,0.285720720906735,-10.9556033566849,32.5250756300025,10.7402800822697,1,1.30859895177463,0.285720720906735
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)1",-21.8687389599722,10.4480144704353,-2.09309998773968,0.0746276596733088,-46.5743673577559,2.83688943781147,NA,NA,NA,NA
"proportion.past.501",13.768926724405,8.5751165500224,1.60568391625756,0.152378460133951,-6.50800183001261,34.0458552788226,16.8152011510498,1,2.57822083892822,0.152378460133951
"B_avg.bright.female",0.373644254617539,0.213340600996844,1.75139777834912,0.123341222734817,-0.130826104348977,0.878114613584055,20.0055981760568,1,3.06739417800625,0.123341222734817
