"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",-2.71005745939994,1.91835560345473,-1.41269817468641,0.19544531242223,-7.13379341375863,1.71367849495874,NA,NA,NA,NA
"proportion.past.50",3.2289478493135,2.12862946580928,1.51691400555046,0.167762386566545,-1.67968050116013,8.13757619978713,0.962761290961542,1,2.30102810023516,0.167762386566545
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)1",-5.08837183502053,2.51006397450895,-2.02718810623781,0.0822533447793126,-11.0237299821938,0.846986312152692,NA,NA,NA,NA
"proportion.past.501",3.79201596960072,2.0601130664906,1.84068342232323,0.108236413741453,-1.07937734844613,8.66340928764757,1.27538764275427,1,3.38811546121556,0.108236413741453
"B_avg.bright.female",0.0705005802804687,0.0512536193721364,1.3755239365358,0.211369912985152,-0.0506949710687908,0.191696131629728,0.712230073271103,1,1.89206609998295,0.211369912985152
