"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"(Intercept)",-9.48714209490029,4.00336975718718,-2.36978912024506,0.0177982334635377,-18.7318703626307,-2.52104535306927
"proportion.past.50",10.3358187697739,4.38170063406685,2.35886009405001,0.0183311653106317,2.63957004361108,20.3613505590747
"",NA,NA,NA,NA,NA,NA
"(Intercept)",-10.1713688885452,5.04126734309214,-2.01762140277735,0.0436307060994401,-21.5246735592728,-1.148953147667
"proportion.past.50",10.4581813212029,4.44306695680859,2.35382032791036,0.0185815901490523,2.68672889438531,20.6726602443516
"B_avg.bright.female",0.0214915632013548,0.0941242246355194,0.228331901639321,0.819388225592216,-0.168811567616023,0.209321954415198
