Year,Band,Site,Sex,Type,FamilyID,Tissue,Seq.ID,Nest,Brood,clutch_id
2021,2811-82978,Hepp (near Cook),,kid,Cooks-31,blood,CO-82978,1,1,Hepp (near Cook)_1_1
2021,2811-83401,Make Believe,,kid,MakeBelieve-69,blood,CO-83401,14,1,Make Believe_14_1
2021,2811-83402,Make Believe,,kid,MakeBelieve-69,blood,CO-83402,14,1,Make Believe_14_1
2021,2811-83403,Make Believe,,kid,MakeBelieve-69,blood,CO-83403,14,1,Make Believe_14_1
2021,2811-83205,Make Believe,,kid,MakeBelieve-26,blood,CO-83205,34,1,Make Believe_34_1
2021,2811-83206,Make Believe,,kid,MakeBelieve-26,blood,CO-83206,34,1,Make Believe_34_1
2021,2811-83207,Make Believe,,kid,MakeBelieve-26,blood,CO-83207,34,1,Make Believe_34_1
2021,2811-83208,Make Believe,,kid,MakeBelieve-26,blood,CO-83208,34,1,Make Believe_34_1
2021,2811-83209,Make Believe,,kid,MakeBelieve-26,blood,CO-83209,34,1,Make Believe_34_1
2021,2881-34129,Make Believe,,kid,MakeBelieve-26,blood,CO-34129,38,2,Make Believe_38_2
2021,2881-34130,Make Believe,,kid,MakeBelieve-26,blood,CO-34130,38,2,Make Believe_38_2
2021,2881-34131,Make Believe,,kid,MakeBelieve-26,blood,CO-34131,38,2,Make Believe_38_2
2021,2811-82963,Make Believe,,kid,MakeBelieve-20,blood,CO-82963,70,1,Make Believe_70_1
2021,2811-82964,Make Believe,,kid,MakeBelieve-20,blood,CO-82964,70,1,Make Believe_70_1
2021,2811-82965,Make Believe,,kid,MakeBelieve-20,blood,CO-82965,70,1,Make Believe_70_1
2021,2811-82966,Make Believe,,kid,MakeBelieve-20,blood,CO-82966,70,1,Make Believe_70_1
2021,2811-82967,Make Believe,,kid,MakeBelieve-20,blood,CO-82967,70,1,Make Believe_70_1
2021,2811-83041,Make Believe,,kid,MakeBelieve-20,blood,CO-83041,73,2,Make Believe_73_2
2021,2811-83042,Make Believe,,kid,MakeBelieve-20,blood,CO-83042,73,2,Make Believe_73_2
