"band","first_date","first_year","index","adult.nestl","est.age","site_2021","certainty"
"2850-57628","2021-07-09",2021,1,"M",1,"Alishas","low"
"2850-57629","2021-07-21",2021,1,"F",1,"Urban Farm Girlz","low"
"2850-57630","2021-07-22",2021,1,"M",1,"Alishas","low"
"2850-57631","2021-07-22",2021,1,"M",1,"Alishas","low"
"2850-57632","2021-07-22",2021,1,"F",1,"Alishas","low"
"2850-57633","2021-07-22",2021,1,"M",1,"Hepp","low"
"2850-57634","2021-07-23",2021,1,"unknown",0,"Hepp","exact"
"2850-57635","2021-07-26",2021,1,"F",1,"Make Believe","good"
"2850-57636","2021-07-30",2021,1,"M",1,"Blue Cloud","good"
"2850-57701","2020-07-28",2020,2,"M",2,"Schaap","good"
"2850-57709","2021-05-25",2021,1,"F",1,"Hoops","good"
"2850-57710","2021-06-02",2021,1,"M",1,"Van Loon","good"
"2850-57711","2021-06-02",2021,1,"F",1,"Van Loon","good"
"2850-57712","2021-06-18",2021,1,"M",1,"Golden Grizzly","good"
"2850-57713","2021-06-18",2021,1,"M",1,"Golden Grizzly","good"
"2850-57714","2021-06-18",2021,1,"M",1,"Golden Grizzly","good"
"2850-57715","2021-06-18",2021,1,"F",1,"Golden Grizzly","good"
"2850-57716","2021-06-18",2021,1,"M",1,"Golden Grizzly","good"
"2850-57717","2021-06-18",2021,1,"M",1,"Golden Grizzly","good"
"2850-57718","2021-06-24",2021,1,"F",1,"Golden Grizzly","good"
"2850-57719","2021-07-01",2021,1,"F",1,"Van Loon","good"
"2850-57720","2021-07-01",2021,1,"M",1,"Van Loon","good"
"2850-57721","2021-07-01",2021,1,"M",1,"Van Loon","good"
"2850-57722","2021-07-01",2021,1,"F",1,"Van Loon","good"
"2850-57723","2021-07-01",2021,1,"M",1,"Van Loon","good"
"2850-57724","2021-07-01",2021,1,"M",1,"Van Loon","good"
"2850-57725","2021-07-05",2021,1,"F",1,"Hoops","good"
"2850-57726","2021-07-05",2021,1,"M",1,"Fisher","good"
"2850-57727","2021-07-05",2021,1,"F",1,"Fisher","good"
"2850-57728","2021-08-12",2021,1,"M",1,"Colorado Horse Rescue","good"
"2850-57729","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57730","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57731","2021-08-12",2021,1,"M?",1,"Colorado Horse Rescue","good"
"2850-57732","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57733","2021-08-12",2021,1,"M",1,"Colorado Horse Rescue","good"
"2850-57734","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57735","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57736","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57737","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57737","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57738","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57739","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57740","2021-08-12",2021,1,"unknown",0,"Colorado Horse Rescue","exact"
"2850-57806","2020-05-30",2020,2,"M?",2,"Colorado Horse Rescue","good"
"2850-57811","2020-05-30",2020,2,"M?",2,"Colorado Horse Rescue","good"
"2850-57834","2020-07-10",2020,2,"F",2,"Hoops","good"
"2850-57836","2020-07-14",2020,2,"M",2,"Make Believe","good"
"2850-57846","2020-07-25",2020,2,"F",2,"Colorado Horse Rescue","good"
"2850-57850","2021-05-25",2021,1,"unknown",1,"Hoops","good"
"2850-57852","2021-05-25",2021,1,"M",1,"Hoops","good"
"2850-57853","2021-06-01",2021,1,"F",1,"Cooks","good"
"2850-57854","2021-06-01",2021,1,"F",1,"Cooks","good"
"2850-57855","2021-06-04",2021,1,"F",1,"Hoops","good"
"2850-57856","2021-06-04",2021,1,"M",1,"Hoops","good"
"2850-57857","2021-06-10",2021,1,"M",1,"Baseline","low"
"2850-57858","2021-06-18",2021,1,"M",1,"Golden Grizzly","good"
"2850-57859","2021-06-18",2021,1,"M",1,"Golden Grizzly","good"
"2850-57860","2021-06-18",2021,1,"F",1,"Golden Grizzly","good"
"2850-57861","2021-06-18",2021,1,"F",1,"Golden Grizzly","good"
"2850-57862","2021-06-18",2021,1,"M",1,"Golden Grizzly","good"
"2850-57863","2021-06-18",2021,1,"F",1,"Golden Grizzly","good"
"2850-57864","2021-06-21",2021,1,"F",1,"Hayes","good"
"2850-57865","2021-06-21",2021,1,"M",1,"Hayes","good"
"2850-57866","2021-06-24",2021,1,"M",1,"Golden Grizzly","good"
"2850-57867","2021-06-26",2021,1,"F",1,"Golden Grizzly","good"
"2850-57901","2021-06-23",2021,1,"M",1,"Blue Cloud","good"
"2850-57902","2021-06-24",2021,1,"F",1,"Golden Grizzly","good"
"2850-57903","2021-06-24",2021,1,"F",1,"Golden Grizzly","good"
"2850-57904","2021-06-29",2021,1,"F",1,"Schaap","good"
"2850-57905","2021-06-29",2021,1,"F",1,"Schaap","good"
"2850-57906","2021-06-24",2021,1,"M",1,"Golden Grizzly","good"
"2850-57907","2021-06-24",2021,1,"M",1,"Golden Grizzly","good"
"2850-57908","2021-07-07",2021,1,"M",1,"Brown Barn","low"
"2850-57909","2021-07-07",2021,1,"F",1,"Brown Barn","low"
"2850-57910","2021-07-07",2021,1,"F",1,"Brown Barn","low"
"2850-57911","2021-07-07",2021,1,"M",1,"Brown Barn","low"
"2850-57912","2021-07-08",2021,1,"M",1,"Cooks","good"
"2850-57913","2021-07-09",2021,1,"F",1,"Alishas","low"
"2850-57914","2021-07-09",2021,1,"F",1,"Alishas","low"
"2850-57915","2021-07-09",2021,1,"M",1,"Alishas","low"
"2850-57916","2021-07-22",2021,1,"M",1,"Alishas","low"
"2850-57917","2021-07-22",2021,1,"M",1,"Alishas","low"
"2850-57918","2021-07-22",2021,1,"F",1,"Alishas","low"
"2850-57919","2021-07-22",2021,1,"F",1,"Alishas","low"
"2850-57920","2021-07-29",2021,1,"unknown",0,"Make Believe","exact"
