"","Ind1","genetic_fam","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","SeqID_mom","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","SeqID_dad","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad"
"82","CO_E01","2850-57615_2850-57608","E01","Urban Farm Girlz","egg","UrbanFarm-02",NA,"collected","UrbanFarm-02_egg","CO_57608",0.306,0.556,0.138,0.416,55421,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","CO_57615",0.377,0.432,0.191,0.407,49909,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02"
"83","CO_E02","2850-57615_2850-57608","E02","Urban Farm Girlz","egg","UrbanFarm-02",NA,"collected","UrbanFarm-02_egg","CO_57608",0.327,0.52,0.153,0.413,60192,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","CO_57615",0.359,0.48,0.161,0.401,54352,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02"
"84","CO_E03","2850-57615_2850-57608","E03","Urban Farm Girlz","egg","UrbanFarm-02",NA,"collected","UrbanFarm-02_egg","CO_57608",0.289,0.576,0.136,0.424,64983,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","CO_57615",0.321,0.544,0.135,0.407,58622,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02"
"85","CO_E04","2850-57615_2850-57608","E04","Urban Farm Girlz","egg","UrbanFarm-02",NA,"collected","UrbanFarm-02_egg","CO_57608",0.293,0.585,0.121,0.414,60023,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","CO_57615",0.325,0.532,0.143,0.409,54110,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02"
"86","CO_E05","2850-57836_2640-97347","E05","Make Believe","egg","MakeBelieve-26",NA,"collected","MakeBelieve-26_egg","CO_97347",0.338,0.554,0.108,0.385,59494,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.319,0.566,0.114,0.398,59781,"2850-57836","Make Believe","dad","MakeBelieve-26"
"87","CO_E06","2850-57836_2640-97347","E06","Make Believe","egg","MakeBelieve-26",NA,"collected","MakeBelieve-26_egg","CO_97347",0.341,0.535,0.123,0.391,56241,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.38,0.48,0.14,0.38,56608,"2850-57836","Make Believe","dad","MakeBelieve-26"
"88","CO_E07","2850-57836_2640-97347","E07","Make Believe","egg","MakeBelieve-26",NA,"collected","MakeBelieve-26_egg","CO_97347",0.301,0.624,0.074,0.386,65021,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.319,0.583,0.098,0.389,65523,"2850-57836","Make Believe","dad","MakeBelieve-26"
"89","CO_E08","2850-57836_2640-97347","E08","Make Believe","egg","MakeBelieve-26",NA,"collected","MakeBelieve-26_egg","CO_97347",0.309,0.589,0.102,0.396,59993,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.354,0.534,0.112,0.379,60402,"2850-57836","Make Believe","dad","MakeBelieve-26"
"90","CO_E09","2850-57836_2640-97347","E09","Make Believe","egg","MakeBelieve-26",NA,"collected","MakeBelieve-26_egg","CO_97347",0.359,0.502,0.139,0.39,56250,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.372,0.505,0.123,0.376,56564,"2850-57836","Make Believe","dad","MakeBelieve-26"
"91","CO_E15","2850-57505_2640-97370","E15","Cooks","egg","Cooks-23",NA,"collected","Cooks-23_egg","CO_97370",0.332,0.566,0.103,0.385,63411,"2640-97370","Cooks","mom","Cooks-23","CO_57505",0.288,0.645,0.067,0.39,61486,"2850-57505","Cooks","dad","Cooks-23"
"92","CO_E16","2850-57505_2640-97370","E16","Cooks","egg","Cooks-23",NA,"collected","Cooks-23_egg","CO_97370",0.289,0.645,0.066,0.389,73087,"2640-97370","Cooks","mom","Cooks-23","CO_57505",0.267,0.668,0.066,0.399,70827,"2850-57505","Cooks","dad","Cooks-23"
"93","CO_E17","2850-57505_2640-97370","E17","Cooks","egg","Cooks-23",NA,"collected","Cooks-23_egg","CO_97370",0.319,0.584,0.097,0.389,60540,"2640-97370","Cooks","mom","Cooks-23","CO_57505",0.331,0.589,0.08,0.375,58774,"2850-57505","Cooks","dad","Cooks-23"
"94","CO_E18","2850-57505_2640-97370","E18","Cooks","egg","Cooks-23",NA,"collected","Cooks-23_egg","CO_97370",0.277,0.646,0.077,0.4,69832,"2640-97370","Cooks","mom","Cooks-23","CO_57505",0.266,0.661,0.072,0.403,67643,"2850-57505","Cooks","dad","Cooks-23"
"95","CO_E19","2850-57505_2640-97370","E19","Cooks","egg","Cooks-23",NA,"collected","Cooks-23_egg","CO_97370",0.299,0.628,0.073,0.387,67432,"2640-97370","Cooks","mom","Cooks-23","CO_57505",0.285,0.64,0.075,0.395,65207,"2850-57505","Cooks","dad","Cooks-23"
"96","CO_E20","2850-57518_2640-97385","E20","Make Believe","egg","MakeBelieve-69",NA,"collected","MakeBelieve-69_egg","CO_97385",0.303,0.578,0.119,0.408,54251,"2640-97385","Make Believe","mom","MakeBelieve-69","CO_57518",0.328,0.53,0.141,0.407,52603,"2850-57518","Make Believe","dad","MakeBelieve-69"
"97","CO_E21","2850-57518_2640-97385","E21","Make Believe","egg","MakeBelieve-69",NA,"collected","MakeBelieve-69_egg","CO_97385",0.311,0.572,0.117,0.403,59965,"2640-97385","Make Believe","mom","MakeBelieve-69","CO_57518",0.322,0.525,0.153,0.415,58323,"2850-57518","Make Believe","dad","MakeBelieve-69"
"98","CO_E22","2850-57518_2640-97385","E22","Make Believe","egg","MakeBelieve-69",NA,"collected","MakeBelieve-69_egg","CO_97385",0.293,0.605,0.102,0.404,59462,"2640-97385","Make Believe","mom","MakeBelieve-69","CO_57518",0.281,0.629,0.09,0.404,57715,"2850-57518","Make Believe","dad","MakeBelieve-69"
"99","CO_E23","2850-57518_2640-97385","E23","Make Believe","egg","MakeBelieve-69",NA,"collected","MakeBelieve-69_egg","CO_97385",0.322,0.548,0.131,0.404,56687,"2640-97385","Make Believe","mom","MakeBelieve-69","CO_57518",0.353,0.506,0.141,0.394,54931,"2850-57518","Make Believe","dad","MakeBelieve-69"
"100","CO_E24","2850-57518_2640-97385","E24","Make Believe","egg","MakeBelieve-69",NA,"collected","MakeBelieve-69_egg","CO_97385",0.321,0.544,0.135,0.407,58535,"2640-97385","Make Believe","mom","MakeBelieve-69","CO_57518",0.336,0.531,0.132,0.398,56794,"2850-57518","Make Believe","dad","MakeBelieve-69"
"101","CO_E29","NA_2850-57612","E29","Blue Cloud","egg","BlueCloud-09",NA,"collected","BlueCloud-09_egg","CO_57612",0.35,0.542,0.108,0.379,65807,"2850-57612","Blue Cloud","mom","BlueCloud-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","CO_E30","NA_2850-57612","E30","Blue Cloud","egg","BlueCloud-09",NA,"collected","BlueCloud-09_egg","CO_57612",0.382,0.47,0.148,0.383,56278,"2850-57612","Blue Cloud","mom","BlueCloud-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","CO_E31","NA_2850-57612","E31","Blue Cloud","egg","BlueCloud-09",NA,"collected","BlueCloud-09_egg","CO_57612",0.135,0.617,0.248,0.557,63229,"2850-57612","Blue Cloud","mom","BlueCloud-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","CO_E32","NA_2850-57612","E32","Blue Cloud","egg","BlueCloud-09",NA,"collected","BlueCloud-09_egg","CO_57612",0.329,0.551,0.119,0.395,62602,"2850-57612","Blue Cloud","mom","BlueCloud-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","CO_E33","NA_2850-57612","E33","Blue Cloud","egg","BlueCloud-09",NA,"collected","BlueCloud-09_egg","CO_57612",0.324,0.564,0.112,0.394,64327,"2850-57612","Blue Cloud","mom","BlueCloud-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","CO_E34","2850-57549_2850-57550","E34","Cathy's","egg","Cathys-03",NA,"collected","Cathys-03_egg","CO_57550",0.3,0.599,0.101,0.401,57702,"2850-57550","Cathy's","mom","Cathys-03","CO_57549",0.316,0.544,0.14,0.412,60295,"2850-57549","Cathy's","dad","Cathys-03"
"107","CO_E35","2850-57549_2850-57550","E35","Cathy's","egg","Cathys-03",NA,"collected","Cathys-03_egg","CO_57550",0.324,0.534,0.141,0.409,57908,"2850-57550","Cathy's","mom","Cathys-03","CO_57549",0.282,0.596,0.122,0.42,60186,"2850-57549","Cathy's","dad","Cathys-03"
"108","CO_E36","2850-57549_2850-57550","E36","Cathy's","egg","Cathys-03",NA,"collected","Cathys-03_egg","CO_57550",0.369,0.434,0.197,0.414,49606,"2850-57550","Cathy's","mom","Cathys-03","CO_57549",0.324,0.538,0.138,0.407,52147,"2850-57549","Cathy's","dad","Cathys-03"
"109","CO_E37","2850-57549_2850-57550","E37","Cathy's","egg","Cathys-03",NA,"collected","Cathys-03_egg","CO_57550",0.314,0.556,0.13,0.408,55148,"2850-57550","Cathy's","mom","Cathys-03","CO_57549",0.262,0.632,0.107,0.422,57385,"2850-57549","Cathy's","dad","Cathys-03"
"110","CO_E38","2850-57701_2850-57556","E38","Schaaps","egg","Schaaps-80",NA,"collected","Schaaps-80_egg","CO_57556",0.312,0.588,0.1,0.394,64109,"2850-57556","Schaaps","mom","Schaaps-80","CO_57701",0.366,0.492,0.142,0.388,55147,"2850-57701","Schaaps","dad","Schaaps-110"
"111","CO_E39","2850-57701_2850-57556","E39","Schaaps","egg","Schaaps-80",NA,"collected","Schaaps-80_egg","CO_57556",0.346,0.535,0.12,0.387,58846,"2850-57556","Schaaps","mom","Schaaps-80","CO_57701",0.383,0.451,0.166,0.391,50638,"2850-57701","Schaaps","dad","Schaaps-110"
"112","CO_E40","2850-57701_2850-57556","E40","Schaaps","egg","Schaaps-80",NA,"collected","Schaaps-80_egg","CO_57556",0.251,0.741,0.008,0.378,62269,"2850-57556","Schaaps","mom","Schaaps-80","CO_57701",0.402,0.409,0.188,0.393,53654,"2850-57701","Schaaps","dad","Schaaps-110"
"113","CO_E41","2850-57701_2850-57556","E41","Schaaps","egg","Schaaps-80",NA,"collected","Schaaps-80_egg","CO_57556",0.316,0.591,0.092,0.388,62541,"2850-57556","Schaaps","mom","Schaaps-80","CO_57701",0.39,0.459,0.151,0.38,53808,"2850-57701","Schaaps","dad","Schaaps-110"
"114","CO_E42","2850-57701_2850-57556","E42","Schaaps","egg","Schaaps-80",NA,"collected","Schaaps-80_egg","CO_57556",0.341,0.542,0.117,0.388,60744,"2850-57556","Schaaps","mom","Schaaps-80","CO_57701",0.371,0.458,0.171,0.4,52377,"2850-57701","Schaaps","dad","Schaaps-110"
"115","CO_E43","2850-57552_2850-57551","E43","Struthers","egg","Struthers-20",NA,"collected","Struthers-20_egg","CO_57551",0.376,0.505,0.119,0.372,60182,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.355,0.532,0.113,0.379,64403,"2850-57552","Struthers","dad","Struthers-20"
"116","CO_E44","2850-57552_2850-57551","E44","Struthers","egg","Struthers-20",NA,"collected","Struthers-20_egg","CO_57551",0.409,0.447,0.144,0.367,56556,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.369,0.518,0.114,0.373,60486,"2850-57552","Struthers","dad","Struthers-20"
"117","CO_E45","2850-57552_2850-57551","E45","Struthers","egg","Struthers-20",NA,"collected","Struthers-20_egg","CO_57551",0.378,0.486,0.136,0.379,60871,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.35,0.553,0.097,0.374,65200,"2850-57552","Struthers","dad","Struthers-20"
"118","CO_E46","2850-57552_2850-57551","E46","Struthers","egg","Struthers-20",NA,"collected","Struthers-20_egg","CO_57551",0.358,0.548,0.094,0.368,61823,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.336,0.566,0.098,0.381,66118,"2850-57552","Struthers","dad","Struthers-20"
"119","CO_E47","2850-57552_2850-57551","E47","Struthers","egg","Struthers-20",NA,"collected","Struthers-20_egg","CO_57551",0.328,0.573,0.099,0.386,59324,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.324,0.59,0.087,0.382,63452,"2850-57552","Struthers","dad","Struthers-20"
"120","CO_E48","2850-57565_2850-57610","E48","Blue Cloud","egg","BlueCloud-14",NA,"collected","BlueCloud-14_egg","CO_57610",0.387,0.429,0.183,0.398,45844,"2850-57610","Blue Cloud","mom","BlueCloud-14","CO_57565",0.294,0.588,0.118,0.412,61776,"2850-57565","Blue Cloud","dad","BlueCloud-19"
"121","CO_E49","2850-57565_2850-57610","E49","Blue Cloud","egg","BlueCloud-14",NA,"collected","BlueCloud-14_egg","CO_57610",0.394,0.424,0.182,0.394,46142,"2850-57610","Blue Cloud","mom","BlueCloud-14","CO_57565",0.307,0.58,0.113,0.403,62276,"2850-57565","Blue Cloud","dad","BlueCloud-19"
"122","CO_E50","2850-57565_2850-57610","E50","Blue Cloud","egg","BlueCloud-14",NA,"collected","BlueCloud-14_egg","CO_57610",0.408,0.403,0.189,0.391,41085,"2850-57610","Blue Cloud","mom","BlueCloud-14","CO_57565",0.297,0.568,0.135,0.419,55255,"2850-57565","Blue Cloud","dad","BlueCloud-19"
"123","CO_E51","2850-57614_2850-57610","E51","Blue Cloud","egg","BlueCloud-14",NA,"collected","BlueCloud-14_egg","CO_57610",0.371,0.478,0.151,0.39,48028,"2850-57610","Blue Cloud","mom","BlueCloud-14","CO_57614",0.327,0.553,0.12,0.396,62716,"2850-57614","Blue Cloud","dad","BlueCloud-14"
"124","CO_E52","NA_2850-57853","E52","Cooks","egg","Cooks-27",NA,"collected","Cooks-27_egg","CO_57853",0.34,0.518,0.142,0.401,52038,"2850-57853","Cooks","mom","Cooks-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","CO_E53","NA_2850-57853","E53","Cooks","egg","Cooks-27",NA,"collected","Cooks-27_egg","CO_57853",0.282,0.594,0.124,0.421,51837,"2850-57853","Cooks","mom","Cooks-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","CO_E54","NA_2850-57853","E54","Cooks","egg","Cooks-27",NA,"collected","Cooks-27_egg","CO_57853",0.372,0.457,0.171,0.399,49642,"2850-57853","Cooks","mom","Cooks-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","CO_E55","2850-57505_2850-57853","E55","Cooks","egg","Cooks-27",NA,"collected","Cooks-27_egg","CO_57853",0.324,0.54,0.136,0.406,53146,"2850-57853","Cooks","mom","Cooks-27","CO_57505",0.298,0.606,0.096,0.399,63067,"2850-57505","Cooks","dad","Cooks-23"
"128","CO_E56","NA_2850-57603","E56","Schaaps","egg","Schaaps-54",NA,"collected","Schaaps-54_egg","CO_57603",0.364,0.476,0.161,0.398,55327,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","CO_E57","NA_2850-57603","E57","Schaaps","egg","Schaaps-54",NA,"collected","Schaaps-54_egg","CO_57603",0.361,0.486,0.153,0.396,53547,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","CO_E58","NA_2850-57603","E58","Schaaps","egg","Schaaps-54",NA,"collected","Schaaps-54_egg","CO_57603",0.327,0.546,0.127,0.4,59938,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","CO_E59","NA_2850-57603","E59","Schaaps","egg","Schaaps-54",NA,"collected","Schaaps-54_egg","CO_57603",0.354,0.491,0.155,0.401,55562,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","CO_E60","2850-57633_2850-57558","E60","Cooks","egg","Cooks-31",NA,"collected","Cooks-31_egg","CO_57558",0.336,0.52,0.144,0.404,57256,"2850-57558","Cooks","mom","Cooks-31","CO_57633",0.319,0.529,0.152,0.416,56527,"2850-57633","Cooks","dad","Cooks-31"
"133","CO_E61","2850-57633_2850-57558","E61","Cooks","egg","Cooks-31",NA,"collected","Cooks-31_egg","CO_57558",0.369,0.472,0.16,0.395,54821,"2850-57558","Cooks","mom","Cooks-31","CO_57633",0.283,0.589,0.127,0.422,54301,"2850-57633","Cooks","dad","Cooks-31"
"134","CO_E63","NA_2850-57558","E63","Cooks","egg","Cooks-31",NA,"collected","Cooks-31_egg","CO_57558",0.368,0.477,0.154,0.393,61820,"2850-57558","Cooks","mom","Cooks-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","CO_E64","2850-57633_2850-57558","E64","Cooks","egg","Cooks-31",NA,"collected","Cooks-31_egg","CO_57558",0.298,0.573,0.129,0.416,60341,"2850-57558","Cooks","mom","Cooks-31","CO_57633",0.269,0.603,0.128,0.429,59353,"2850-57633","Cooks","dad","Cooks-31"
"136","CO_E70","2850-57607_2850-57553","E70","Schaaps","egg","Schaaps-108",NA,"collected","Schaaps-108_egg","CO_57553",0.37,0.491,0.139,0.385,56776,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.305,0.587,0.108,0.401,62588,"2850-57607","Schaaps","dad","Schaaps-108"
"137","CO_E71","2850-57607_2850-57553","E71","Schaaps","egg","Schaaps-108",NA,"collected","Schaaps-108_egg","CO_57553",0.354,0.518,0.128,0.387,59246,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.269,0.64,0.091,0.411,65307,"2850-57607","Schaaps","dad","Schaaps-108"
"138","CO_E72","2850-57607_2850-57553","E72","Schaaps","egg","Schaaps-108",NA,"collected","Schaaps-108_egg","CO_57553",0.314,0.581,0.105,0.395,54562,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.298,0.595,0.107,0.404,60299,"2850-57607","Schaaps","dad","Schaaps-108"
"139","CO_E73","2850-57607_2850-57553","E73","Schaaps","egg","Schaaps-108",NA,"collected","Schaaps-108_egg","CO_57553",0.339,0.538,0.123,0.392,54719,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.294,0.596,0.109,0.408,60383,"2850-57607","Schaaps","dad","Schaaps-108"
"140","CO_E74","2850-57607_2850-57553","E74","Schaaps","egg","Schaaps-108",NA,"collected","Schaaps-108_egg","CO_57553",0.288,0.617,0.095,0.403,63742,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.237,0.698,0.065,0.414,70375,"2850-57607","Schaaps","dad","Schaaps-108"
"141","CO_E75","2850-57557_2850-57609","E75","Cooks","egg","Cooks-24",NA,"collected","Cooks-24_egg","CO_57609",0.373,0.501,0.127,0.377,53556,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.335,0.549,0.116,0.391,55655,"2850-57557","Cooks","dad","Cooks-24"
"142","CO_E76","2850-57557_2850-57609","E76","Cooks","egg","Cooks-24",NA,"collected","Cooks-24_egg","CO_57609",0.221,0.716,0.063,0.421,59525,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.247,0.695,0.057,0.405,61716,"2850-57557","Cooks","dad","Cooks-24"
"143","CO_E77","2850-57557_2850-57609","E77","Cooks","egg","Cooks-24",NA,"collected","Cooks-24_egg","CO_57609",0.375,0.478,0.148,0.387,54229,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.356,0.505,0.14,0.392,56240,"2850-57557","Cooks","dad","Cooks-24"
"144","CO_E78","2850-57557_2850-57609","E78","Cooks","egg","Cooks-24",NA,"collected","Cooks-24_egg","CO_57609",0.35,0.537,0.113,0.381,52509,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.355,0.517,0.127,0.386,54410,"2850-57557","Cooks","dad","Cooks-24"
"145","CO_E79","2850-57557_2850-57609","E79","Cooks","egg","Cooks-24",NA,"collected","Cooks-24_egg","CO_57609",0.356,0.501,0.143,0.393,53839,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.348,0.521,0.132,0.392,55728,"2850-57557","Cooks","dad","Cooks-24"
"146","CO_E80","2850-57619_2850-57555","E80","Reinarz","egg","Reinarz-01",NA,"collected","Reinarz-01_egg","CO_57555",0.3,0.605,0.095,0.398,66000,"2850-57555","Reinarz","mom","Reinarz-01","CO_57619",0.31,0.571,0.119,0.404,67507,"2850-57619","Reinarz","dad","Reinarz-01"
"147","CO_E81","2850-57619_2850-57555","E81","Reinarz","egg","Reinarz-01",NA,"collected","Reinarz-01_egg","CO_57555",0.329,0.527,0.144,0.407,59038,"2850-57555","Reinarz","mom","Reinarz-01","CO_57619",0.325,0.561,0.114,0.395,60355,"2850-57619","Reinarz","dad","Reinarz-01"
"148","CO_E82","2850-57619_2850-57555","E82","Reinarz","egg","Reinarz-01",NA,"collected","Reinarz-01_egg","CO_57555",0.327,0.547,0.126,0.399,60488,"2850-57555","Reinarz","mom","Reinarz-01","CO_57619",0.316,0.574,0.11,0.397,61868,"2850-57619","Reinarz","dad","Reinarz-01"
"149","CO_E83","2850-57619_2850-57555","E83","Reinarz","egg","Reinarz-01",NA,"collected","Reinarz-01_egg","CO_57555",0.328,0.538,0.134,0.403,57320,"2850-57555","Reinarz","mom","Reinarz-01","CO_57619",0.331,0.562,0.107,0.388,58809,"2850-57619","Reinarz","dad","Reinarz-01"
"150","CO_E84","2850-57619_2850-57555","E84","Reinarz","egg","Reinarz-01",NA,"collected","Reinarz-01_egg","CO_57555",0.34,0.524,0.136,0.398,58694,"2850-57555","Reinarz","mom","Reinarz-01","CO_57619",0.318,0.537,0.144,0.413,60150,"2850-57619","Reinarz","dad","Reinarz-01"
