"","Ind1","genetic_fam","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","SeqID_mom","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","SeqID_dad","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad"
"20","CO_82972","NA_2640-97370","2811-82972","Cooks","kid","Cooks-23",22,"1","Cook's_22_1","CO_97370",0.316,0.587,0.097,0.39,63430,"2640-97370","Cooks","mom","Cooks-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","CO_82973","NA_2640-97370","2811-82973","Cooks","kid","Cooks-23",22,"1","Cook's_22_1","CO_97370",0.358,0.495,0.147,0.394,57363,"2640-97370","Cooks","mom","Cooks-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","CO_82974","2850-57607_2850-57553","2811-82974","Schaaps","kid","Schaaps-108",32,"1","Schaap's_32_1","CO_57553",0.421,0.396,0.183,0.381,50805,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.315,0.598,0.088,0.386,56159,"2850-57607","Schaaps","dad","Schaaps-108"
"23","CO_82975","2850-57607_2850-57553","2811-82975","Schaaps","kid","Schaaps-108",32,"1","Schaap's_32_1","CO_57553",0.402,0.444,0.154,0.376,54552,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.32,0.583,0.097,0.389,60132,"2850-57607","Schaaps","dad","Schaaps-108"
"24","CO_82976","2850-57701_2850-57553","2811-82976","Schaaps","kid","Schaaps-108",32,"1","Schaap's_32_1","CO_57553",0.415,0.414,0.171,0.378,50310,"2850-57553","Schaaps","mom","Schaaps-108","CO_57701",0.426,0.366,0.208,0.391,47587,"2850-57701","Schaaps","dad","Schaaps-110"
"25","CO_82977","2850-57505_2850-57558","2811-82977","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1","CO_57558",0.354,0.5,0.146,0.396,58145,"2850-57558","Cooks","mom","Cooks-31","CO_57505",0.347,0.541,0.112,0.383,59904,"2850-57505","Cooks","dad","Cooks-23"
"26","CO_82978","NA_2850-57558","2811-82978","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1","CO_57558",0.353,0.496,0.15,0.399,55827,"2850-57558","Cooks","mom","Cooks-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CO_82979","2850-57614_2850-57610","2811-82979","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2","CO_57610",0.398,0.398,0.205,0.403,41122,"2850-57610","Blue Cloud","mom","BlueCloud-14","CO_57614",0.374,0.466,0.159,0.392,53562,"2850-57614","Blue Cloud","dad","BlueCloud-14"
"28","CO_82980","2850-57614_2850-57610","2811-82980","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2","CO_57610",0.427,0.38,0.193,0.383,41459,"2850-57610","Blue Cloud","mom","BlueCloud-14","CO_57614",0.384,0.455,0.161,0.389,54229,"2850-57614","Blue Cloud","dad","BlueCloud-14"
"29","CO_82981","2850-57614_2850-57610","2811-82981","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2","CO_57610",0.415,0.37,0.216,0.401,44114,"2850-57610","Blue Cloud","mom","BlueCloud-14","CO_57614",0.368,0.503,0.129,0.381,57555,"2850-57614","Blue Cloud","dad","BlueCloud-14"
