"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","LR Chisq","Df","Pr(>Chisq)"
"(Intercept)",-3.5917782411417,4.71034047817475,-0.762530491751948,0.445743451724847,-14.4300110613737,4.83421796386216,NA,NA,NA
"chicks.replacement",-0.092896556616869,0.318915227554997,-0.291289184681058,0.770830158366886,-0.738804167511378,0.548139001710474,0.0848693870300448,1,0.770803909055327
"proportion.past.50",4.20668486482719,4.46711145290638,0.941701345304527,0.346345566093942,-3.59782906976667,14.6293112811501,1.01571901597351,1,0.313536627325348
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)1",-4.66238090401218,5.99630743154546,-0.777542005182099,0.43683906200444,-18.6662625225483,6.14411089843623,NA,NA,NA
"chicks.replacement1",-0.104829256756295,0.319600616386539,-0.328000796561386,0.742911060344523,-0.749011409372703,0.54019106150196,0.107406777369272,1,0.743116020810077
"B_avg.bright.female",0.0278666540456491,0.0926079936794623,0.300909812840801,0.763483267354744,-0.16069247419531,0.216230104422429,0.0901765948505711,1,0.763952771799713
"proportion.past.501",4.61644478220044,4.73662165166254,0.974628146746759,0.329744746537014,-3.59571662878509,15.8251888420223,1.10585771171028,1,0.292984165861523
