"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"prop50m",3,39.4513408792638,0,1,0.718984518564343,-14.7256704396319,0.718984518564343
"null",2,42.5540791860716,3.10273830680777,0.211957572638164,0.152394213319317,-18.4198967358929,0.87137873188366
"prop100m",3,44.8580351409342,5.40669426167042,0.0669809431373427,0.048158261154588,-17.4290175704671,0.919536993038248
"estmax",3,45.7032406735804,6.25189979431662,0.0438952178709877,0.031559982088249,-17.8516203367902,0.951096975126497
"kde90",3,46.0805528332091,6.62921195394532,0.0363483678500324,0.0261339137592552,-18.0402764166046,0.977230888885753
"kde50",3,46.3562108469811,6.90486996771729,0.0316684303018268,0.0227691111142474,-18.1781054234906,1
