"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"numEP.null",2,40.4331988814379,0,1,0.373246594027529,-17.3594565835761,0.373246594027529
"numEP.prop50m",3,41.5326394657412,1.09944058430325,0.577111210341936,0.215404793635232,-15.7663197328706,0.588651387662761
"numEP.estmax",3,42.5876915686145,2.15449268717656,0.340531943736656,0.127102388157281,-16.2938457843072,0.715753775820042
"numEP.prop100m",3,42.9489548131278,2.5157559316899,0.284256589135354,0.106097803724653,-16.4744774065639,0.821851579544696
"numEP.kde90",3,43.0232840883251,2.59008520688715,0.273886195587803,0.102227089654305,-16.5116420441625,0.924078669199001
"numEP.kde50",3,43.6182821375603,3.18508325612235,0.203407966786161,0.0759213308009992,-16.8091410687801,1
