"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"mates.rep.plum.cov",3,32.241260295549,0,1,0.772874634372485,-11.1206301477745,0.772874634372485
"mates.rep.prop50m.cov",4,37.1354025838387,4.89414228828972,0.0865466984587353,0.0668897479274407,-10.5677012919194,0.839764382299926
"mates.rep.estmax.cov",4,38.0300240679077,5.78876377235867,0.0553332167524512,0.0427656396662042,-11.0150120339538,0.88253002196613
"mates.rep.kde90.cov",4,38.144074940739,5.90281464519003,0.0522660989042114,0.0403951420806686,-11.0720374703695,0.922925164046798
"mates.rep.kde50.cov",4,38.2370328410457,5.99577254549673,0.0498924159498564,0.0385605827352052,-11.1185164205229,0.961485746782004
"mates.rep.prop100m.cov",4,38.2394372326849,5.9981769371359,0.0498324715356545,0.0385142532179963,-11.1197186163424,1
