"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","LR Chisq","Df","Pr(>Chisq)"
"(Intercept)",-3.87740459207424,2.88219861502536,-1.34529403069612,0.178530300505926,-10.3321275509448,1.15171434313795,NA,NA,NA
"proportion.past.50",4.87557693169343,3.07950087447595,1.58323609260969,0.113367662885688,-0.605155583131106,11.664801588822,2.97849056519629,1,0.0843779292301758
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Intercept)1",-5.10084812102222,4.05219756771339,-1.25878564304568,0.208107767401832,-14.3637991956003,1.95359896488014,NA,NA,NA
"B_avg.bright.female",0.0304465392929284,0.0668177524853748,0.455665420646894,0.64863059149469,-0.101390438624083,0.164269507474237,0.207803230890256,1,0.648494684631751
"proportion.past.501",5.32597831139882,3.32567094452412,1.60147483026495,0.109271790432625,-0.468168030574996,12.8628397135259,3.18627370141104,1,0.0742591041612387
